insertion,,selection,,bubble,,bubbleF,,heap,,merge,,quick,,radix,,smooth,,counting ,
0,1000,0,1000,1,1000,1,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000
0,2000,3,2000,4,2000,5,2000,0,2000,0,2000,0,2000,0,2000,0,2000,0,2000
3,4000,13,4000,20,4000,23,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4000
14,8000,55,8000,99,8000,101,8000,0,8000,4,8000,0,8000,0,8000,0,8000,0,8000
61,16000,223,16000,436,16000,407,16000,1,16000,7,16000,0,16000,1,16000,0,16000,0,16000
246,32000,897,32000,1856,32000,1655,32000,2,32000,15,32000,1,32000,2,32000,0,32000,0,32000
988,64000,3588,64000,7503,64000,6632,64000,4,64000,32,64000,3,64000,5,64000,0,64000,0,64000
10237,200000,35090,200000,73342,200000,66054,200000,19,200000,98,200000,12,200000,18,200000,0,200000,2,200000
