insertion,,selection,,bubble,,bubbleF,,heap,,merge,,quick,,radix,,smooth,,counting ,
0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000
0,2000,3,2000,3,2000,0,2000,0,2000,0,2000,2,2000,0,2000,0,2000,0,2000
0,4000,13,4000,14,4000,0,4000,0,4000,1,4000,8,4000,0,4000,0,4000,0,4000
0,8000,55,8000,58,8000,0,8000,0,8000,3,8000,32,8000,0,8000,0,8000,0,8000
0,16000,223,16000,234,16000,0,16000,1,16000,6,16000,130,16000,1,16000,0,16000,0,16000
0,32000,895,32000,925,32000,0,32000,2,32000,12,32000,overflow,32000,2,32000,0,32000,0,32000
0,64000,3588,64000,3719,64000,0,64000,8,64000,25,64000,overflow,64000,5,64000,0,64000,0,64000
0,200000,35069,200000,36318,200000,0,200000,16,200000,80,200000,overflow,200000,20,200000,0,200000,2,200000
